quartil_renda,distritos,renda_mediana,proporcao_preta_parda_mediana,taxa_bruta_mediana,taxa_padronizada_mediana,taxa_menos70_mediana,idade_media_obito_mediana,proporcao_antes65_mediana,choque_pandemia_mediano,distancia_gratuidade_mediana
1,24,1700.0,0.5839171520418279,667.2777717128072,781.2062373438099,367.22079303269277,63.649850750701695,0.4374489317408326,28.037119529016564,6.501063265794147
2,24,2000.5,0.45401260579839786,789.4467522557875,814.7550704297164,348.08749925354874,68.6446185461084,0.3487499741302593,26.021893301202613,6.070063755427077
3,24,3100.5,0.34293006281238064,922.9747666514938,782.0997777221847,299.83666659153425,72.72872120077176,0.25375494071146243,19.165877118239848,9.157359747981141
4,24,7500.0,0.17298477635890946,855.6785538475149,610.2535890521915,186.67580084634818,77.86142466669574,0.16216732806640696,16.71064408128088,11.257463416399899
