feature_id,geometry_type,x_31983,y_31983,longitude,latitude,cd_cep_equipamento,cd_equipamento,cd_equipamento_base_origem,cd_identificador,cd_identificador_classe_equipamento,cd_identificador_esfera_administrativa_equipamento,cd_identificador_rede_equipamento,cd_identificador_tema_equipamento,cd_identificador_tipo_equipamento,nm_bairro_equipamento,nm_classe_equipamento,nm_equipamento,nm_esfera_administrativa_equipamento,nm_rede_equipamento,nm_tema_equipamento,nm_tipo_equipamento,tx_classe_equipamento,tx_endereco_equipamento,tx_esfera_administrativa_equipamento,tx_horario_funcionamento,tx_numero_telefone,tx_rede_equipamento,tx_tipo_equipamento
equipamento_cemiterio.160015,Polygon,,,,,04664-020,,,160015,5,1,0,8,0,VILA SOFIA,CEMITERIO,DE CONGONHAS,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA MINISTRO ALVARO DE SOUSA LIMA, 101",ADMINISTRACAO MUNICIPAL,08h As 17:30h,5522-0911,Sem descrição,SEM TIPO
equipamento_cemiterio.160016,Polygon,,,,,02364-801,,,160016,5,1,0,8,0,JARDIM CORISCO,CEMITERIO,PARQUE DA CANTAREIRA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA ROBERTO BALDIN, 5005",ADMINISTRACAO MUNICIPAL,08h As 18h,2995-2560,Sem descrição,SEM TIPO
equipamento_cemiterio.160017,Polygon,,,,,05564-100,,,160017,5,1,0,8,0,JARDIM-EDUCANDARIO,CEMITERIO,ISRAELITA DO BUTANTÃ,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. ENG. HEITOR ANTONIO EIRAS GARCIA, 5530",ADMINISTRACAO MUNICIPAL,08h As 17h,3782-0909,Sem descrição,SEM TIPO
equipamento_cemiterio.160018,Polygon,,,,,04890-360,,,160018,5,1,0,8,0,PARELHEIROS,CEMITERIO,PARELHEIROS,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"RUA AMARO DE PONTES, 237",ADMINISTRACAO MUNICIPAL,07h As 18h,5920-8275,Sem descrição,SEM TIPO
equipamento_cemiterio.160019,Polygon,,,,,04685-003,,,160019,5,1,0,8,0,CAMPO GRANDE,CEMITERIO,CAMPO GRANDE,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. NOSSA SENHORA DO SABARA, 1371",ADMINISTRACAO MUNICIPAL,07h As 18h,5632-0149,Sem descrição,SEM TIPO
equipamento_cemiterio.160020,Polygon,,,,,04737-000,,,160020,5,1,0,8,0,SANTO AMARO,CEMITERIO,SANTO AMARO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. MIN. ROBERTO CARDOSO ALVES, 186",ADMINISTRACAO MUNICIPAL,07h As 18h,5521-2662,Sem descrição,SEM TIPO
equipamento_cemiterio.160021,Polygon,,,,,01536-001,,,160021,5,1,0,8,0,CAMBUCI,CEMITERIO,VILA MARIANA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. LACERDA FRANCO, 2012",ADMINISTRACAO MUNICIPAL,07h As 18h,5573-3017,Sem descrição,SEM TIPO
equipamento_cemiterio.160023,Polygon,,,,,05408-001,,,160023,5,1,0,8,0,PINHEIROS,CEMITERIO,SÃO PAULO,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. CARDEAL ARCOVERDE, 1250",ADMINISTRACAO MUNICIPAL,07h As 18h,3814-0219,Sem descrição,SEM TIPO
equipamento_cemiterio.160024,Polygon,,,,,02350-002,,,160024,5,1,0,8,0,VILA ALBERTINA,CEMITERIO,FREGUESIA DO Ó,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. ITABERABA, 250",ADMINISTRACAO MUNICIPAL,07h As 18h,2362-3734,Sem descrição,SEM TIPO
equipamento_cemiterio.160025,Polygon,,,,,02350-002,,,160025,5,1,0,8,0,VILA ALBERTINA,CEMITERIO,SANTANA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. NOVA DOS PORTUGUESES, 141",ADMINISTRACAO MUNICIPAL,07h As 18h,2362-3734,Sem descrição,SEM TIPO
equipamento_cemiterio.160026,Polygon,,,,,02350-002,,,160026,5,1,0,8,0,VILA ALBERTINA,CEMITERIO,QUARTA PARADA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. SALIM FARAH MALUF, 3303",ADMINISTRACAO MUNICIPAL,07h As 18h,2362-3734,Sem descrição,SEM TIPO
equipamento_cemiterio.160027,Polygon,,,,,02350-002,,,160027,5,1,0,8,0,VILA ALBERTINA,CEMITERIO,DE ITAQUERA,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"R. SERRA DE SÃO DOMINGOS, 1597",ADMINISTRACAO MUNICIPAL,07h As 18h,2362-3734,Sem descrição,SEM TIPO
equipamento_cemiterio.160028,Polygon,,,,,08041-000,,,160028,5,1,0,8,0,SÃO MIGUEL,CEMITERIO,SAUDADE,MUNICIPAL,SEM REDE,SERVICO,SEM TIPO,CEMITERIOS,"AV. PIRES DO RIO, 1441",ADMINISTRACAO MUNICIPAL,07h As 18h,2054-0715,Sem descrição,SEM TIPO
