unidade_analise,id_equipamento,nome_oficial,tipo,complexo,bloco_concessao,concessionaria,categoria_tarifaria,destino_gratuidade_hipossuficiencia,anel,distancia_interna_m,distancia_externa_m,area_anel_m2,quadras_intersectadas,quadras_com_pgv,quadras_sem_pgv,registros_face_pgv,cobertura_area_quadras_pgv_pct,cobertura_area_anel_por_quadras_pct,vm2t_faces_mediana,vm2t_faces_q1,vm2t_faces_q3,vm2t_faces_min,vm2t_faces_max,vm2t_mediana_das_quadras,vm2t_media_quadras_ponderada_area,nome_geosampa,endereco_geosampa,bairro_geosampa,cep_geosampa,feature_ids_geosampa,numero_feicoes,classificacao_preliminar,status_validacao
cemiterio_particular_candidato,priv_geosampa_05,Cemitério Do Carmo I,cemiterio_particular_candidato,,,,,,250-500m,250,500,911057.4,54,50,4,181,94.11,90.85,446.0,422.0,501.0,320.0,787.0,444.75,542.35,DO CARMO I,"R. PROF. HASEGAWA, 727",ITAQUERA,08360-090,equipamento_cemiterio.160044,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_05,Cemitério Do Carmo I,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,2996424.27,153,144,9,517,87.19,87.86,494.0,320.0,540.0,188.0,960.0,495.0,557.26,DO CARMO I,"R. PROF. HASEGAWA, 727",ITAQUERA,08360-090,equipamento_cemiterio.160044,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_06,Cemitério Do Carmo Ii,cemiterio_particular_candidato,,,,,,0-250m,0,250,542058.7,15,14,1,46,94.63,93.82,446.0,320.0,742.5,320.0,797.0,541.0,672.95,DO CARMO II,"R. PROF. HASEGAWA, 776",ITAQUERA,08360-090,equipamento_cemiterio.160043,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_06,Cemitério Do Carmo Ii,cemiterio_particular_candidato,,,,,,250-500m,250,500,924771.58,37,34,3,114,93.04,93.4,436.5,320.0,528.0,320.0,797.0,455.0,633.87,DO CARMO II,"R. PROF. HASEGAWA, 776",ITAQUERA,08360-090,equipamento_cemiterio.160043,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_06,Cemitério Do Carmo Ii,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3021460.7,110,101,9,347,88.7,91.6,467.0,370.5,540.0,188.0,960.0,470.0,599.53,DO CARMO II,"R. PROF. HASEGAWA, 776",ITAQUERA,08360-090,equipamento_cemiterio.160043,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_07,Cemitério Do Morumby,cemiterio_particular_candidato,,,,,,0-250m,0,250,875485.33,57,57,0,213,100.0,76.29,1631.0,959.0,3020.0,596.0,3530.0,1310.0,1841.56,DO MORUMBY,"R. DEP. LAÉRCIO CORTE, 468",MORUMBI,05706-290,equipamento_cemiterio.160045|equipamento_cemiterio.160046,2,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_07,Cemitério Do Morumby,cemiterio_particular_candidato,,,,,,250-500m,250,500,1227472.19,89,88,1,333,99.99,81.66,1717.0,798.0,3200.0,537.0,4613.0,1747.5,1976.2,DO MORUMBY,"R. DEP. LAÉRCIO CORTE, 468",MORUMBI,05706-290,equipamento_cemiterio.160045|equipamento_cemiterio.160046,2,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_07,Cemitério Do Morumby,cemiterio_particular_candidato,,,,,,500-1000m,500,1000,3605063.1,162,162,0,595,100.0,78.82,1909.0,733.5,2126.5,531.0,9255.0,1942.5,2146.35,DO MORUMBY,"R. DEP. LAÉRCIO CORTE, 468",MORUMBI,05706-290,equipamento_cemiterio.160045|equipamento_cemiterio.160046,2,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_08,Cemitério Dos Protestantes,cemiterio_particular_candidato,,,,,,0-250m,0,250,264421.3,17,17,0,71,100.0,76.71,17906.0,13625.0,18503.0,7053.0,20833.0,18027.5,13445.25,DOS PROTESTANTES,"RUA SERGIPE, 177",CONSOLAÇÃO,01243-001,equipamento_cemiterio.160009,1,particular_associativo_religioso_ou_nao_concessionado,pendente
cemiterio_particular_candidato,priv_geosampa_08,Cemitério Dos Protestantes,cemiterio_particular_candidato,,,,,,250-500m,250,500,656489.81,37,37,0,152,100.0,81.35,16620.5,13127.0,18567.75,4877.0,23642.0,15021.0,14988.41,DOS PROTESTANTES,"RUA SERGIPE, 177",CONSOLAÇÃO,01243-001,equipamento_cemiterio.160009,1,particular_associativo_religioso_ou_nao_concessionado,pendente
