quartil_preta_parda,distritos,proporcao_preta_parda_mediana,renda_mediana,taxa_bruta_mediana,taxa_padronizada_mediana,taxa_menos70_mediana,idade_media_obito_mediana,choque_pandemia_mediano,distancia_gratuidade_mediana
1,24,0.17298477635890946,7500.0,898.9587836251301,610.2535890521915,186.67580084634818,77.86142466669574,16.71064408128088,10.771871398043796
2,24,0.33961079413399076,3100.5,939.0517494102291,790.5376559770991,303.19740766528537,73.03140776391838,19.82891836386278,9.502937821744094
3,24,0.45401260579839786,2000.5,752.167986652626,795.8658529350728,352.7347793364459,67.86611449262548,24.631312841437392,7.387151511575967
4,24,0.5839171520418279,1700.0,626.0123821522002,777.7870457361644,367.22079303269277,63.649850750701695,30.13615530958146,5.884641770103774
