id_equipamento,nome_oficial,tipo,unidade_memorial_contratual,bloco_concessao,concessionaria,endereco_oficial,cep_publicado,cep_normalizado,categoria_tarifaria,destino_gratuidade_hipossuficiencia,modalidade_gratuita,tarifa_sepultamento_avulso_2026,referencia_tarifaria,fonte_endereco,fonte_bloco,fonte_categoria,fonte_gratuidade,observacoes,feature_ids_geosampa,nome_geosampa,endereco_geosampa,cep_geosampa,notas_mapeamento,area_m2_31983,perimetro_m_31983,centroide_x_31983,centroide_y_31983,centroide_longitude,centroide_latitude,metodo_geometria,metodo_ponto
cem_sao_paulo,Cemitério São Paulo,cemiterio,São Paulo,2,Cortel SP,"Rua Cardeal Arcoverde, 1250",05408-001,05408-001,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160023,SÃO PAULO,"R. CARDEAL ARCOVERDE, 1250",05408-001,,102400.574,1434.527,328039.919,7393677.495,-46.68480316,-23.55817537,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_vila_nova_cachoeirinha,Cemitério Vila Nova Cachoeirinha,cemiterio,Vila Nova Cachoeirinha,2,Cortel SP,"Avenida João Marcelino Branco, s/n",02610-000,02610-000,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160032,VILA NOVA CACHOEIRINHA,"AV. JOÃO MARCELINO BRANCO, S/N",02610-000,,231460.667,2247.003,329715.927,7402522.758,-46.66738132,-23.47848848,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_campo_grande,Cemitério Campo Grande,cemiterio,Campo Grande,3,Grupo Maya,"Avenida Nossa Senhora do Sabará, 1371",04685-003,04685-003,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160019,CAMPO GRANDE,"AV. NOSSA SENHORA DO SABARA, 1371",04685-003,,110607.455,1427.644,327899.503,7381601.892,-46.6875742,-23.66718877,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_lageado,Cemitério do Lageado,cemiterio,Lageado,3,Grupo Maya,"Estrada do Lageado Velho, 1490",08451-000,08451-000,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,Grafia contratual: Lageado; também aparece como Lajeado.,equipamento_cemiterio.160039|equipamento_cemiterio.160040,DO LAGEADO,"ESTRADA DO LAGEADO VELHO, 1490",08451-000,Primeira feição do equipamento; será dissolvida com a segunda.|Segunda feição do equipamento; será dissolvida com a primeira.,54982.115,1142.28,357518.882,7396625.13,-46.39577123,-23.53441902,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_lapa,Cemitério da Lapa,cemiterio,Lapa,3,Grupo Maya,"Rua Bergson, 347",05301-060,05301-060,1,False,,1088.41,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160033,LAPA,"R. BERGSON, 347",05301-060,,110241.855,1643.595,324273.748,7396106.303,-46.72140436,-23.53584221,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_parelheiros,Cemitério de Parelheiros,cemiterio,Parelheiros,3,Grupo Maya,"Rua Amaro de Pontes, 237",04890-36,04890-360,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,CEP publicado de forma incompleta na página oficial; normalização provisória a conferir no GeoSampa.,equipamento_cemiterio.160018,PARELHEIROS,"RUA AMARO DE PONTES, 237",04890-360,,5428.486,384.626,323857.946,7363596.027,-46.72933684,-23.8293173,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_saudade,Cemitério da Saudade,cemiterio,Saudade,3,Grupo Maya,"Rua Samuel de Carvalho, 60",08041-00,08041-000,3,True,sepultamento,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,CEP publicado de forma incompleta na página oficial; normalização provisória a conferir no GeoSampa.,equipamento_cemiterio.160028,SAUDADE,"AV. PIRES DO RIO, 1441",08041-000,O endereço cadastrado no GeoSampa difere do endereço de atendimento publicado pela SP Regula.,131382.446,1607.984,352858.787,7399301.954,-46.44114811,-23.50983125,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_freguesia_do_o,Cemitério da Freguesia do Ó,cemiterio,Freguesia do Ó,4,Velar SP,"Avenida Itaberaba, 250",02734-000,02734-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160024,FREGUESIA DO Ó,"AV. ITABERABA, 250",02350-002,O bairro e o CEP da feição devem ser tratados com cautela; o polígono foi associado pelo nome e endereço do equipamento.,14420.431,563.557,326677.547,7400244.471,-46.69738578,-23.49873792,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_itaquera,Cemitério de Itaquera,cemiterio,Itaquera,4,Velar SP,"Rua Serra de São Domingos, 1597",08290-370,08290-370,3,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160027,DE ITAQUERA,"R. SERRA DE SÃO DOMINGOS, 1597",02350-002,,111866.265,1319.833,351598.351,7393848.933,-46.45403135,-23.55895683,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_penha,Cemitério da Penha,cemiterio,Penha,4,Velar SP,"Avenida Amador Bueno da Veiga, 333",03635-000,03635-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160029,PENHA,"AV. AMADOR BUENO DA VEIGA, 333",03635-000,,16261.302,503.338,342638.734,7397826.483,-46.54137451,-23.52219582,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_sao_luiz,Cemitério São Luiz,cemiterio,São Luiz,4,Velar SP,"Rua Antônio de Sena, 82",05846-080,05846-080,4,True,sepultamento,592.95,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160035,SÃO LUIZ,"R. ANTÔNIO DE SENA, 82",05846-080,,235332.92,2319.126,322075.408,7381992.728,-46.74461673,-23.6630277,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
cem_sao_pedro,Cemitério São Pedro,cemiterio,São Pedro,4,Velar SP,"Avenida Francisco Falconi, 837",03227-000,03227-000,2,False,,785.69,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,,equipamento_cemiterio.160041,SÃO PEDRO (VILA ALPINA),"AV. FRANCISCO FALCONI, 837",03227-000,,223941.397,1911.636,340371.85,7390208.978,-46.56438672,-23.59075611,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
crem_vila_alpina,Crematório Vila Alpina,crematorio,Vila Alpina (Crematório),4,Velar SP,"Avenida Francisco Falconi, 437",03227-000,03227-000,,True,cremacao,,2026-01,https://prefeitura.sp.gov.br/web/spregula/w/concessionarias-e-agencias-funerarias,https://prefeitura.sp.gov.br/web/desestatizacao_projetos/w/cemiterios/edital_cemiterios/330749,Anexo VI - Política Tarifária,https://prefeitura.sp.gov.br/web/spregula/w/servicos_funerarios_e_cemiteriais/343471,Equipamento de cremação; não recebe categoria de cemitério nem tarifa de sepultamento.,equipamento_cemiterio.160042,VILA ALPINA,"AV. FRANCISCO FALCONI, 437",03227-000,A camada denomina a feição Vila Alpina e a classifica genericamente como cemitério; no contrato é o crematório.,53515.717,1234.618,340102.023,7390548.586,-46.56699389,-23.58766301,poligono_wfs_geosampa_dissolvido,centroide_geometrico_derivado; nao representa entrada
