CD_DIST,NM_DIST,V01317,V01318,V01319,V01320,V01321,V01322,V01323,V01324,V01325,V01326,V01327,V01328,V01329,V01330,V01331,V01332,V01333,V01334,V01335,V01336,V01337,V01338,V01339,V01340,V01341,V01342,V01343,V01344,V01345,V01346,V01347,V01348,V01349,V01350,V01351,V01352,V01353,V01354,V01355,V01356,V01357,V01358,V01359,V01360,V01361,V01362,V01363,V01364,V01365,V01366,V01367,V01368,V01369,V01370,V01371,V01372,V01373,V01374,V01375,V01376,V01377,V01378,V01379,V01380,V01381,V01382,V01383,V01384,V01385,V01386,V01387,V01388,V01389,V01390,V01391,V01392,V01393,V01394,V01395,V01396,V01397,V01398,V01399,V01400,V01401,V01402,V01403,V01404,V01405,V01406,V01407,V01408,V01409,V01410,V01411
355030812,Butantã,35450,3655,3281,8769,75,16474,1758,1466,4187,13,18976,1864,1778,4580,23,14769,1471,1428,3605,12,7182,7587,662,704,708,630,1767,1799,0,3,0,651,3621,5066,5315,0,48,424,467,226,0,7,171,410,591,4,164,1181,1318,707,0,0,3,0,0,4088,295,134,1263,0,6907,887,402,2132,6,15216,1714,1339,4042,11,9237,557,1182,1262,7,1385,51,11,319,0,15064,1641,1402,3784,9,1291,28,21,339,0,17666,1769,1704,4157,16
355030813,Cachoeirinha,68619,19375,1165,53778,114,31621,9351,455,25853,41,36998,10023,558,27925,39,24746,7647,401,19353,18,11381,13360,3391,4226,172,121,9176,10174,3,0,5,899,6030,10088,7515,0,231,2011,3149,1881,0,0,35,67,130,10,945,5648,8172,4343,0,0,3,0,0,12568,2818,46,10775,11,14219,4557,108,12887,20,29340,8906,374,23233,22,12478,3009,338,6876,0,4332,750,4,3497,0,27281,8457,424,22313,36,4113,741,10,3394,0,32874,9135,517,24503,29
355030814,Cambuci,29880,3091,2227,9873,40,13527,1540,1026,4802,13,16353,1517,1150,5069,8,12760,1387,876,4006,9,5713,7047,632,682,396,387,1954,2039,3,0,0,457,3887,4733,3590,0,39,434,496,172,0,8,137,314,194,0,189,1472,1577,597,0,0,0,0,0,4192,236,259,1640,3,5759,693,303,2264,9,14086,1635,1013,4852,9,5839,340,466,1059,0,1454,37,66,475,0,12069,1443,911,4262,9,1357,36,52,452,0,14987,1426,1051,4533,7
355030815,Campo Belo,55296,2814,3024,9727,15,25248,1291,1310,4706,7,30046,1377,1634,4995,0,24044,1081,1292,3945,6,11663,12380,416,498,519,546,1869,1964,3,0,0,312,5739,9153,8622,0,40,299,310,94,0,0,128,373,433,3,137,1278,1517,606,0,0,0,0,0,7102,273,209,1616,0,8384,600,183,2121,3,25343,1318,1306,4590,0,14456,239,940,1137,0,2421,67,32,430,0,22793,1162,1194,4154,7,2234,52,31,411,0,27776,1261,1505,4438,0
355030816,Campo Grande,79735,6898,3665,25457,30,36154,3342,1726,12188,6,43581,3512,1886,13265,6,30078,2861,1516,9872,3,14336,15737,1323,1411,733,587,4787,5061,0,0,36,772,6380,12873,9788,0,37,730,1140,528,0,0,91,455,580,6,229,2667,4405,2253,0,0,0,0,0,12589,606,222,4070,0,14010,1292,342,5118,0,36336,3580,1517,12333,7,16790,1065,1213,3884,3,4105,80,26,1191,0,32035,3134,1621,10899,6,3904,120,29,1155,0,39660,3270,1780,12021,6
355030817,Campo Limpo,103262,28892,1856,101611,202,47605,14387,763,48821,54,55653,14487,872,52788,62,36299,11831,651,38299,25,16720,19567,5457,6275,260,222,17851,20436,3,12,25,1402,10020,15206,9226,9,493,3766,4798,2087,0,0,26,88,294,51,1779,11514,17478,7029,0,0,0,3,0,20241,3982,44,19455,18,22324,6916,123,23112,17,45243,14161,567,47709,43,15416,3571,646,11276,0,6978,993,7,6421,6,40600,13081,708,42351,32,6540,943,3,6050,0,49076,13251,822,46696,43
355030818,Cangaiba,73202,15330,1357,50306,816,33389,7502,582,24248,413,39813,7824,640,26058,346,26262,6247,458,18161,215,12219,14039,2938,3270,187,125,8772,9387,84,85,14,763,5797,10622,8865,3,196,1744,2541,1427,0,0,9,85,152,0,809,5237,7564,4349,0,6,75,68,16,12689,2072,44,9836,148,14400,3625,130,11769,207,31223,7169,476,21738,304,14883,2333,383,6961,36,4422,484,6,3191,50,28958,6847,544,21038,330,4136,505,3,3160,24,35672,7167,602,22884,281
355030819,Capão Redondo,105314,36002,689,128343,126,48208,17690,247,61323,27,57106,18304,285,67020,41,36316,14669,211,47542,7,16248,20050,6674,7938,85,50,22041,25499,0,0,42,1635,9210,15284,9685,9,549,4253,6015,3107,0,0,10,39,71,71,2350,13392,20709,10650,0,0,0,0,0,21185,4999,11,24554,15,23830,8827,52,30120,6,44353,16930,192,56928,20,15920,5063,155,16724,0,7200,1370,0,7887,0,40967,16037,230,53403,20,6979,1168,3,7564,0,50086,16798,264,59414,25
355030820,Carrão,58891,4822,5621,14857,86,26553,2260,2607,7112,24,32338,2538,2979,7741,33,22348,1933,2018,5611,10,10924,11424,900,976,1125,828,2746,2858,0,3,20,390,3976,9191,8664,0,22,428,757,435,0,0,140,675,975,0,117,1356,2439,1536,0,0,0,3,0,8462,516,386,2413,10,9911,1006,755,3074,4,25452,2292,2218,6798,17,15063,813,2064,2542,0,2761,92,70,694,3,23788,2090,2466,6353,16,2713,124,86,693,0,29623,2325,2823,6987,29
355030821,Casa Verde,48149,8705,2760,20644,207,21929,3996,1261,9731,95,26220,4702,1424,10913,69,18182,3398,1034,7384,37,8686,9496,1465,1892,525,404,3533,3851,24,3,14,385,3787,6899,6976,0,63,847,1327,960,0,0,74,279,483,6,291,2106,2986,1855,0,0,10,6,0,6834,1072,122,3752,33,8595,1862,280,4691,51,20724,4004,1059,9120,56,11992,1672,1085,3065,3,2392,244,12,1172,6,19536,3672,1195,8517,73,2158,260,9,1141,0,24058,4366,1361,9736,51
355030822,Cidade Ademar,106497,34550,2026,105740,115,48365,16865,834,50259,38,58132,17673,985,55481,37,36947,14132,732,39269,14,16900,20045,6279,7766,321,244,17935,21329,3,3,41,1328,8959,15062,11085,6,563,3965,5753,3117,0,0,20,176,330,72,1888,11040,16875,8960,0,0,0,3,0,20578,4674,88,20108,11,22417,8243,132,24947,9,44613,16320,686,46448,18,18874,5105,711,14206,0,7018,1196,9,6347,4,41311,15376,777,43862,30,6878,1143,3,6342,3,51229,16241,948,49098,29
355030823,Cidade Dutra,86361,20597,2408,72765,106,39228,10071,1070,34904,32,47133,10520,1176,37856,40,29410,8289,893,26150,17,13803,15599,3779,4457,419,296,12464,13676,6,3,40,825,6269,12087,9868,3,226,2165,3400,1999,0,0,13,161,431,48,1001,6762,11310,6745,0,0,0,6,0,15520,2595,69,13527,9,17703,4727,190,16387,11,36351,9831,830,32061,36,16775,3270,948,10772,0,5271,539,9,4324,0,33933,9304,1011,30552,29,5070,556,6,4201,0,42042,9723,1119,33615,38
355030824,Cidade Lider,69510,16140,1374,48549,141,31997,7949,583,23536,32,37513,8187,667,25013,59,23337,6496,485,17436,21,11298,12036,3170,3307,203,128,8663,8771,3,6,24,740,5468,9709,7250,3,260,1753,2741,1500,0,0,3,71,189,17,769,4864,7467,4163,0,0,0,0,0,13130,2183,55,9239,12,14297,3735,93,11138,24,29441,7646,466,21408,25,12639,2501,447,6761,6,4510,543,8,2925,0,27479,7273,546,20604,28,4320,571,3,2902,0,33187,7506,626,22095,45
355030825,Cidade Tiradentes,74123,34028,209,85329,168,33856,16318,64,40737,44,40264,17701,77,44588,69,24073,13131,32,30031,27,9227,14828,5222,7859,10,10,12411,17605,3,6,81,1322,6489,9972,5855,23,697,3931,5191,2799,0,0,0,10,0,67,1765,8774,12550,6560,0,0,0,6,0,17740,5730,8,18867,16,17844,8831,17,21249,22,29093,15017,62,35111,38,9402,4335,7,10083,0,6192,1680,0,6139,0,27645,14490,52,34576,32,5986,1607,0,5970,4,34248,15922,64,38591,57
355030826,Consolação,43032,2056,1726,6154,4,19954,946,681,3028,0,23078,934,875,3112,0,22413,988,788,3028,3,10705,11708,431,372,233,338,1549,1359,0,0,8,1547,6601,6601,7515,0,3,323,246,77,0,10,145,138,124,0,76,1043,1006,446,0,0,0,0,0,3766,77,68,507,0,9010,383,237,1374,0,18944,1012,699,3127,0,11282,181,312,818,0,1238,6,9,74,0,18647,903,625,2842,0,1162,6,10,89,0,21836,897,827,2905,0
355030827,Cursino,64799,8083,7783,22371,22,29171,3829,3507,10667,3,35626,4206,4198,11696,9,24658,3174,3159,8217,0,11224,13431,1257,1756,1545,1533,3747,4439,0,0,8,508,5112,9658,9118,0,95,761,1100,705,0,0,253,1076,1528,9,354,2356,3306,1860,0,0,0,0,0,9536,990,618,3975,3,10861,1695,754,5104,0,28334,3784,3149,9930,7,16056,1295,2987,3258,0,3195,187,147,1186,0,25966,3473,3270,9358,0,3218,212,129,1169,0,32387,3856,3975,10403,6
355030828,Ermelino Matarazzo,53807,12877,777,44248,98,24874,6298,309,21250,29,28933,6574,361,22998,46,18316,5285,273,16154,16,8516,9798,2566,2699,91,78,7873,8281,3,6,11,641,4333,7471,5693,0,198,1553,2115,1154,0,0,14,36,79,8,626,4432,6934,3992,0,0,3,3,0,10178,1694,15,8215,11,11488,3056,80,10208,7,22598,6087,229,19470,34,9535,1954,224,6353,0,3555,409,0,2629,0,21317,5755,276,18609,18,3265,402,0,2638,0,25663,6037,344,20349,32
355030829,Freguesia do Ó,82521,14833,1260,38349,131,37794,7025,480,18296,32,44725,7795,579,20053,48,30510,5884,369,14337,15,14691,15814,2540,3266,145,61,6907,7424,3,3,23,765,5965,11919,11624,4,128,1401,2273,1693,0,0,11,55,92,6,410,3443,6064,4176,0,0,0,3,0,12495,1814,58,6390,20,15156,3118,98,8121,18,35125,6840,382,17070,30,19737,2888,299,6756,0,4119,466,0,1974,3,33666,6416,429,16266,26,3891,419,8,1882,3,40832,7222,531,18107,34
355030830,Grajaú,144198,53073,1129,185579,161,66840,26698,418,90633,53,77335,26292,453,94927,46,45862,21210,274,65492,10,20351,25416,9701,11259,77,73,30051,35379,3,3,89,2238,12182,18904,11255,7,925,6340,8506,3787,0,0,6,27,98,146,3532,19178,28089,13574,0,0,3,0,0,32555,7601,31,38721,17,34608,13741,64,45765,17,57597,24722,260,79288,29,19244,6383,299,21640,0,11326,1804,4,12757,0,55390,24303,367,77783,40,10803,1836,0,12005,0,66371,23868,426,82822,33
355030831,Guaianases,45116,15328,202,48397,108,20967,7583,54,23489,47,24149,7738,88,24908,36,15100,6088,40,17017,27,7072,8021,2791,3282,13,20,8155,8861,3,8,15,624,4013,6104,4160,3,245,1847,2423,1306,0,0,11,6,7,16,868,5112,7094,3768,0,0,0,4,6,9605,2238,12,10316,7,10246,3760,22,11706,19,18381,7163,48,20482,35,6880,2118,18,5878,9,3340,585,0,3454,0,17620,6887,48,20024,45,3221,582,0,3231,0,20913,7028,71,21661,33
