CD_DIST,NM_DIST,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_NU,NM_NU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,AREA_KM2,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009
355030873,São Mateus,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,6822994",155682,64726,64697,29,"2,8","0,1900",55735,539,8423
355030874,São Miguel,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,6588838",81011,33222,33193,29,"2,8","0,0850",28941,413,3839
355030875,São Rafael,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"13,0544655",148145,58336,58329,7,"2,9","0,1469",51051,620,6658
355030876,Sapopemba,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"13,6181746",266715,105579,105558,21,"2,8","0,1317",94704,731,10123
355030877,Saúde,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,2372952",128469,65598,65506,92,"2,3","0,1248",55637,1444,8425
355030878,Sé,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"2,1806686",23832,13885,13825,60,"2,2","0,3157",10609,502,2714
355030879,Socorro,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"12,2615794",38051,16549,16528,21,"2,6","0,1659",14559,133,1836
355030880,Tatuapé,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"8,4886426",98601,50666,50617,49,"2,4","0,1108",40622,1013,8982
355030881,Tremembé,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"57,7098142",196563,78219,78193,26,"2,9","0,1790",68552,847,8794
355030882,Tucuruvi,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"9,4480382",99559,46695,46663,32,"2,5","0,1780",39049,522,7092
355030883,Vila Andrade,3,Sudeste,35,São Paulo,3550308,São Paulo,.,,.,,3501,São Paulo,350001,São Paulo,3550308,São Paulo/SP,"10,3029531",168669,74315,74310,5,"2,5","0,0918",66295,921,7094
